"","rank","rank_percentiles","n","z"
"1",0,0.0298677867674006,4238,-1.8827402821773
"2",1,0.0440334902601979,2010,-1.70568372995218
"3",2,0.0578679559101288,1963,-1.57292618201835
"4",3,0.0789121303526626,2986,-1.4124270353368
"5",4,0.0991035435401573,2865,-1.28667644322355
"6",5,0.12054238434866,3042,-1.17227972568419
"7",6,0.150607504299044,4266,-1.03383135925315
"8",7,0.174449581371748,3383,-0.93672669152264
"9",8,0.204789558255575,4305,-0.824634520985921
"10",9,0.266223606686776,8717,-0.62427467394933
"11",10,0.316198235277535,7091,-0.478356525926507
"12",11,0.367328672511488,7255,-0.338936794834371
"13",12,0.445204803653483,11050,-0.137785926479125
"14",13,0.509930087672314,9184,0.0248936093508905
"15",14,0.580279367406196,9982,0.202608219284815
"16",15,0.703246130860091,17448,0.533759787861374
"17",16,0.771467031263214,9680,0.743686865345897
"18",17,0.829623939334141,8252,0.952680213911268
"19",18,0.88430637386181,7759,1.19679298735208
"20",19,0.917444253375807,4702,1.38808391730929
"21",20,0.944020804555577,3771,1.58945196358381
"22",21,0.968215262312181,3433,1.85518736470754
"23",22,0.980379443520424,1726,1.96
"24",23,0.988188199475658,1108,1.96
"25",24,0.993396385983706,739,1.96
"26",25,0.996553716911454,448,1.96
"27",26,0.998421334536126,265,1.96
"28",27,0.999302286245877,125,1.96
"29",28,0.99975333352127,64,1.96
"30",29,1,35,1.96
