"","rank","Rating","n"
"1",0,1350.5,58
"2",1,1327,65
"3",2,1313,62
"4",3,1359.5,74
"5",4,1318,51
"6",5,1336,69
"7",6,1404.5,78
"8",7,1331,59
"9",8,1348,67
"10",9,1340,84
"11",10,1420.5,102
"12",11,1436,83
"13",12,1382,65
"14",13,1445,75
"15",14,1450,87
"16",15,1496,70
"17",16,1557,70
"18",17,1579.5,74
"19",18,1624,75
"20",19,1645.5,72
"21",20,1709,76
"22",21,1771,58
"23",22,1855,70
"24",23,1909,72
"25",24,1925.5,58
"26",25,1996,54
"27",26,2059,46
"28",27,2156,51
"29",28,2171,19
"30",29,2272.5,16
"31",NA,1424,41
